call_day,ai_score,sunbiz_status,status,notes,name,owner_name,phone,category,address,locality,is_chain,website
1,70,ACTIVE,New,,Glatthorn & Company Pa,"Glatthorn, Gina M",(727) 347-5100,Accountants,415 Pasadena Ave S,"Saint Petersburg, FL 33707",False,http://melbycpa.com/
1,70,ACTIVE,New,,Seminole Accountants Inc,"Geiger, Susan J., Lynch, Garrick, Lynch, Ryan",(727) 392-2120,Accountants,9996 Seminole Blvd,"Seminole, FL 33772",False,http://seminoleaccountants.com/
1,70,ACTIVE,New,,Pfaff Financial Advisors Inc.,"Pfaff, Stephen C, Pfaff, Lynne B",(727) 599-8900,Financial Advisors,1130 Cleveland St,"Clearwater, FL 33755",False,http://www.pfaffadvisors.com/
1,70,ACTIVE,New,,"David J Strickler, CPA PA","Strickler, David J",(727) 405-0043,Accountants,1120 Pinellas Bayway South,"Tierra Verde, FL 33715",False,http://www.davidstrickler.com/
1,70,ACTIVE,New,,Pfaff Financial Advisors Inc,"Pfaff, Stephen C, Pfaff, Lynne B",(727) 559-8900,Financial Advisors,2807 Sun Glow Way,"Clearwater, FL 33761",False,http://www.pfaffadvisors.com/
1,70,ACTIVE,New,,Pfaff Financial Advisors,"Pfaff, Stephen C, Pfaff, Lynne B",(727) 559-8900,Financial Advisors,555 S Hercules Ave,"Clearwater, FL 33764",False,http://www.pfaffadvisors.com/
1,70,ACTIVE,New,,REX E Harper Certified Public Accountant,"Harrison, Rex E, Dmd, Harrison, Cathy R",(727) 446-0504,Accountants,2111 Drew St,"Clearwater, FL 33765",False,http://tampaforensic.com/
1,70,ACTIVE,New,,"Melby & associates, Pa, CPA's","Micheletti, Craig",(727) 213-8723,Accountants,6420 Central Ave,"St Petersburg, FL 33707",False,http://melbycpa.com/
1,65,ACTIVE,New,,Hurd Hawkins Meyers & Radosevich PA,"Radosevich, Jack E, Meyers, Joseph Aiii",(727) 501-1111,Bookkeeping Services,2299 Tall Pines Dr,"Largo, FL 33771",False,http://www.cbiz.com/
1,65,ACTIVE,New,,Fms CPA Inc,"Gilbert, Lawrence",(727) 446-3772,Bookkeeping Services,611 Druid Rd E Ste 102,"Clearwater, FL 33756",False,http://melbycpa.com/
2,65,ACTIVE,New,,"CKS Tax, Inc.","Sanford, Chris K",(727) 388-3495,Bookkeeping Services,8000 Seminole Blvd Ste 5,"Seminole, FL 33772",False,http://ckstax.com/
1,65,ACTIVE,New,,Ribordy & Associates,"Ribordy, Bernard, Ribordy, Marcia L",(727) 397-9200,Bookkeeping Services,8780 Seminole Blvd,"Seminole, FL 33772",False,http://tinyurl.com/3vpgke2
1,65,ACTIVE,New,,Richard C Commons PA,"Commons, Richard C",(727) 461-9770,Bookkeeping Services,901 N Hercules Ave,"Clearwater, FL 33765",False,http://rccommonscpa.com/
2,65,ACTIVE,New,,Lowery Weldon A Company CPAs,"Lowery, Khanh T, Weldon, Robert M",(727) 796-2002,Bookkeeping Services,,"Clearwater, FL 33761",False,http://melbycpa.com/
1,65,ACTIVE,New,,"Absolute Solution, LLC","Nowak, G R",(727) 512-0798,Bookkeeping Services,,"Clearwater, FL 33759",False,http://www.absolutemobilesolutions.com/
2,65,ACTIVE,New,,Hunter Tax and Accounting,"Hunter, Christopher D, Hunter, Penny E",(727) 822-0545,Bookkeeping Services,,"Saint Petersburg, FL 33704",False,http://apexaccountingsolution.com/
1,65,ACTIVE,New,,Vernon & Vernon PA,"Vernon, Thania, Vernon, Robert L",(727) 525-3471,Bookkeeping Services,3423 49th St N,"Saint Petersburg, FL 33710",False,https://www.vernonvernon.com/contact
2,65,ACTIVE,New,,Acctabull,"Reed, Travis, Reed, Travis",(727) 200-6752,Bookkeeping Services,7001 142nd Ave,"Largo, FL 33771",False,https://acctabull.com/
1,65,ACTIVE,New,,Principle Accounting & Tax,"Ng, Chiwah, Ng, Waifun V",(727) 535-8600,Bookkeeping Services,7850 Ulmerton Rd,"Largo, FL 33771",False,http://www.tampabayaccounting.com/
1,65,ACTIVE,New,,"Macy, Stephen A, CPA","Burnside, Dean",(727) 544-8875,Bookkeeping Services,7600 Bryan Dairy Rd,"Largo, FL 33777",False,http://macycpa.com/
